mean,number_of_topics,var
0.36,5,0.051
0.361,10,0.049
0.359,15,0.047
0.355,20,0.053
0.361,25,0.035
0.36,30,0.043
0.363,35,0.041
0.361,40,0.045
0.363,45,0.039
0.36,50,0.04
