mean,number_of_topics,var
0.373,5,0.013
0.374,10,0.012
0.37,15,0.012
0.372,20,0.012
0.371,25,0.013
0.371,30,0.014
0.37,35,0.016
0.368,40,0.013
0.366,45,0.015
0.363,50,0.015
