mean,number_of_topics,var
0.703,5,0.024
0.705,10,0.025
0.7,15,0.022
0.704,20,0.022
0.706,25,0.023
0.71,30,0.026
0.715,35,0.024
0.716,40,0.024
0.718,45,0.025
0.716,50,0.022
