mean,number_of_topics,var
0.669,5,0.117
0.668,10,0.13
0.666,15,0.135
0.669,20,0.129
0.669,25,0.14
0.676,30,0.115
0.667,35,0.128
0.668,40,0.127
0.679,45,0.106
0.683,50,0.1
