mean,number_of_topics,var
0.374,5,0.011
0.372,10,0.011
0.373,15,0.011
0.373,20,0.011
0.37,25,0.012
0.371,30,0.015
0.372,35,0.014
0.369,40,0.015
0.367,45,0.017
0.365,50,0.016
