mean,number_of_topics,var
0.258,5,0.085
0.254,10,0.083
0.254,15,0.076
0.256,20,0.077
0.256,25,0.076
0.256,30,0.077
0.254,35,0.081
0.256,40,0.075
0.255,45,0.076
0.255,50,0.075
