mean,number_of_topics,var
0.652,5,0.239
0.657,10,0.229
0.663,15,0.215
0.657,20,0.23
0.653,25,0.239
0.657,30,0.23
0.658,35,0.23
0.651,40,0.24
0.655,45,0.23
0.656,50,0.23
