mean,number_of_topics,var
0.355,5,0.051
0.353,10,0.053
0.353,15,0.05
0.351,20,0.052
0.351,25,0.053
0.351,30,0.051
0.353,35,0.055
0.347,40,0.061
0.348,45,0.059
0.349,50,0.056
