mean,number_of_topics,var
0.647,5,0.004
0.648,10,0.003
0.648,15,0.004
0.648,20,0.003
0.646,25,0.004
0.646,30,0.004
0.647,35,0.004
0.647,40,0.003
0.647,45,0.004
0.647,50,0.004
