mean,number_of_topics,var
0.777,5,0.001
0.777,10,0.002
0.776,15,0.002
0.776,20,0.001
0.778,25,0.001
0.776,30,0.001
0.776,35,0.001
0.776,40,0.001
0.776,45,0.001
0.777,50,0.001
