mean,number_of_topics,var
0.704,5,0.025
0.702,10,0.027
0.703,15,0.024
0.704,20,0.023
0.704,25,0.026
0.708,30,0.022
0.713,35,0.024
0.716,40,0.023
0.718,45,0.024
0.718,50,0.023
