mean,number_of_topics,var
0.662,5,0.02
0.664,10,0.02
0.66,15,0.026
0.656,20,0.029
0.664,25,0.012
0.663,30,0.019
0.662,35,0.018
0.662,40,0.023
0.665,45,0.016
0.662,50,0.018
