mean,number_of_topics,var
0.649,5,0.242
0.654,10,0.233
0.663,15,0.215
0.657,20,0.23
0.664,25,0.215
0.663,30,0.216
0.663,35,0.216
0.664,40,0.216
0.664,45,0.216
0.664,50,0.216
