mean,number_of_topics,var
0.371,5,0.002
0.372,10,0.002
0.372,15,0.002
0.371,20,0.003
0.372,25,0.001
0.371,30,0.003
0.372,35,0.003
0.372,40,0.003
0.371,45,0.002
0.37,50,0.004
