mean,number_of_topics,var
0.362,5,0.008
0.363,10,0.006
0.362,15,0.006
0.363,20,0.005
0.362,25,0.007
0.362,30,0.006
0.362,35,0.003
0.362,40,0.004
0.362,45,0.003
0.362,50,0.002
