mean,number_of_topics,var
0.676,5,0.02
0.676,10,0.02
0.676,15,0.02
0.675,20,0.02
0.677,25,0.022
0.678,30,0.02
0.681,35,0.02
0.683,40,0.02
0.682,45,0.023
0.684,50,0.022
