mean,number_of_training_sample,var
0.736,25,0.097
0.778,50,0.060
0.838,75,0.066
0.865,100,0.041
0.870,125,0.045
0.888,150,0.057
0.895,175,0.052
0.914,200,0.037
0.923,225,0.045
0.931,250,0.039
0.938,300,0.013
0.944,400,0.013
0.954,500,0.011
0.962,600,0.008
0.966,700,0.005
0.968,800,0.007
0.972,900,0.008
0.974,1000,0.011
