mean,number_of_topics,var
1532.745,5,64.471
1336.999,10,63.173
1255.156,15,73.281
1220.975,20,70.751
1203.837,25,82.663
1200.594,30,72.864
1236.376,35,86.47
1244.009,40,80.523
1292.571,45,85.075
1346.5,50,101.107
