mean,number_of_topics,var
1510.418,5,123.315
1372.446,10,134.894
1340.418,15,151.602
1349.173,20,169.707
1414.965,25,202.722
1464.736,30,210.3
1536.314,35,248.473
1606.906,40,259.613
1734.106,45,287.929
1852.621,50,307.977
