mean,number_of_topics,var
1487.146,5,120.671
1318.145,10,141.376
1284.862,15,157.321
1256.663,20,155.668
1278.661,25,164.515
1295.845,30,177.281
1346.67,35,189.516
1376.683,40,214.275
1452.793,45,214.131
1518.476,50,253.429
