mean,number_of_topics,var
0.86573,5,0.019345
0.87232,10,0.02532
0.88435,15,0.02634
0.88085,20,0.02908
0.87402,25,0.00948
0.87261,30,0.01481
0.87243,35,0.02514
0.87707,40,0.00992
0.87575,45,0.01209
0.87712,50,0.02169
