mean,number_of_topics,var
0.84798,5,0.03172
0.84572,10,0.02376
0.85631,15,0.01573
0.86995,20,0.02825
0.86894,25,0.02452
0.87104,30,0.02941
0.88019,35,0.03592
0.8662,40,0.03728
0.87514,45,0.02592
0.86823,50,0.02755
