mean,number_of_topics,var
0.67423,5,0.01699
0.67718,10,0.01936
0.66852,15,0.01538
0.6595,20,0.02728
0.67221,25,0.01048
0.66249,30,0.01307
0.66542,35,0.01581
0.6707,40,0.01802
0.6599,45,0.01663
0.67558,50,0.01351
