mean,number_of_topics,var
0.84103,5,0.01744
0.84927,10,0.00888
0.84574,15,0.00906
0.84937,20,0.01066
0.84001,25,0.00462
0.84665,30,0.00875
0.83774,35,0.01236
0.83908,40,0.00841
0.82768,45,0.02653
0.83794,50,0.01311
