mean,number_of_topics,var
0.73599,5,0.01616
0.73656,10,0.01594
0.72535,15,0.01556
0.73341,20,0.02477
0.72698,25,0.01808
0.73228,30,0.02448
0.7273,35,0.0237
0.72194,40,0.02292
0.72687,45,0.02559
0.72392,50,0.02874
