mean,number_of_topics,var
0.74663,5,0.02778
0.74843,10,0.02964
0.7493,15,0.02365
0.74759,20,0.02614
0.74543,25,0.02393
0.74817,30,0.0179
0.7469,35,0.0278
0.75027,40,0.02424
0.74824,45,0.02129
0.74594,50,0.02043
