mean,number_of_topics,var
1.0,5,0.0
0.86516,10,0.10066
0.73859,15,0.01884
0.73376,20,0.01392
0.7372,25,0.01673
0.74496,30,0.01426
0.723,35,0.0234
0.73154,40,0.01835
0.74653,45,0.02762
0.72903,50,0.02272
