mean,number_of_topics,var
1.0,5,0.0
1.0,10,0.0
1.0,15,0.0
0.94571,20,0.04835
0.75541,25,0.02068
0.7775,30,0.0249
0.75844,35,0.02116
0.79001,40,0.03499
0.7882,45,0.02929
0.77658,50,0.03707
