mean,number_of_topics,var
0.85793,5,0.0255
0.85444,10,0.0151
0.85649,15,0.02089
0.86272,20,0.02159
0.85653,25,0.00923
0.86446,30,0.01112
0.86833,35,0.00882
0.8667,40,0.01312
0.8678,45,0.02303
0.86511,50,0.00921
