mean,number_of_topics,var
1.0,5,0.0
1.0,10,0.0
1.0,15,0.0
1.0,20,0.0
1.0,25,0.0
1.0,30,0.0
0.51294,35,0.2441
0.65467,40,0.13555
0.71648,45,0.03495
0.7207,50,0.05053
