mean,number_of_topics,var
1.0,5,0.0
0.7556,10,0.05103
0.75461,15,0.05721
0.75764,20,0.04405
0.7695,25,0.03975
0.76967,30,0.03809
0.77223,35,0.04293
0.77123,40,0.03491
0.7701,45,0.03907
0.77621,50,0.02792
