mean,number_of_topics,var
1.0,5,0.0
0.88394,10,0.02318
0.90819,15,0.01221
0.91096,20,0.01431
0.91042,25,0.01508
0.91206,30,0.01383
0.9121,35,0.01255
0.91345,40,0.01449
0.91415,45,0.01277
0.91365,50,0.01286
