mean,number_of_topics,var
0.80439,5,0.03305
0.80554,10,0.04814
0.8106,15,0.03276
0.81721,20,0.04071
0.80649,25,0.03151
0.8101,30,0.0344
0.80727,35,0.02809
0.80653,40,0.03328
0.80959,45,0.03117
0.81153,50,0.03411
