mean,number_of_topics,var
0.84968,5,0.01061
0.84763,10,0.00959
0.84821,15,0.01191
0.84968,20,0.02066
0.83799,25,0.0084
0.84285,30,0.01723
0.84055,35,0.01814
0.83984,40,0.01716
0.83762,45,0.02001
0.84047,50,0.01681
