mean,number_of_topics,var
0.86002,5,0.00665
0.85659,10,0.0051
0.85984,15,0.00787
0.86055,20,0.00725
0.85121,25,0.00909
0.85092,30,0.01082
0.85192,35,0.00396
0.85281,40,0.01621
0.85688,45,0.01006
0.85521,50,0.01179
