mean,number_of_topics,var
0.88591,5,0.01051
0.88659,10,0.01265
0.89194,15,0.01426
0.88384,20,0.00991
0.89068,25,0.01513
0.89173,30,0.00982
0.89191,35,0.01617
0.89366,40,0.01005
0.8927,45,0.00631
0.88935,50,0.01273
