mean,number_of_topics,var
0.76952,5,0.02123
0.75531,10,0.03127
0.75112,15,0.02239
0.74877,20,0.03336
0.74745,25,0.03676
0.74685,30,0.03631
0.74417,35,0.03229
0.74807,40,0.04077
0.75072,45,0.03781
0.74751,50,0.0302
