mean,number_of_topics,var
0.72143,5,0.03224
0.7265,10,0.02786
0.71910,15,0.02949
0.71695,20,0.03676
0.71089,25,0.03111
0.71416,30,0.02475
0.71015,35,0.02359
0.70856,40,0.02844
0.7011,45,0.03217
0.70767,50,0.02896
