mean,number_of_topics,var
0.85326,5,0.0031
0.85457,10,0.01218
0.84952,15,0.01193
0.8429,20,0.00589
0.8399,25,0.01643
0.83848,30,0.01438
0.83952,35,0.01655
0.82771,40,0.02072
0.84125,45,0.01709
0.83151,50,0.0135
