mean,number_of_topics,var
0.71893,5,0.01401
0.72131,10,0.01298
0.71542,15,0.00953
0.71343,20,0.012
0.70484,25,0.01949
0.70746,30,0.01264
0.71512,35,0.02649
0.71426,40,0.01838
0.7091,45,0.02691
0.7068,50,0.02233
