mean,number_of_topics,var
0.86573,5,0.019345
0.87232,10,0.02532
0.89435,15,0.02634
0.88385,20,0.02908
0.84902,25,0.00948
0.86361,30,0.01481
0.85143,35,0.02514
0.87242,40,0.02694
0.87354,45,0.01328
0.86441,50,0.02833
