mean,number_of_topics,var
1.0,5,0.0
0.80856,10,0.01974
0.79932,15,0.01624
0.79116,20,0.02165
0.786,25,0.02225
0.80516,30,0.01412
0.78986,35,0.02777
0.79835,40,0.01856
0.85166,45,0.06064
0.79899,50,0.02247
