mean,number_of_topics,var
0.86267,5,0.01223
0.85819,10,0.02204
0.86773,15,0.01502
0.86417,20,0.02308
0.86982,25,0.0176
0.86933,30,0.01765
0.86304,35,0.01202
0.85944,40,0.02061
0.86635,45,0.01446
0.86356,50,0.01281
